,#,Skater,JAMMER,PIVOT,BLOCKER,Team
14,911,Toxic Moxie,0.0,0.0,0.0,Alls
0,1130,Sass Machine,0.0,0.0,15.0,Brawls
1,14,Sailor Zoom,0.0,3.0,17.0,Brawls
2,187,Princess DIE,0.0,0.0,18.0,Brawls
3,27,Otter Chaos,0.0,0.0,7.0,Brawls
4,3019,Eowound of Roharm,0.0,0.0,7.0,Brawls
5,369,Whiskey Kitty,0.0,0.0,6.0,Brawls
6,404,Ginja Ninja,10.0,0.0,0.0,Brawls
7,548,GrootForce,0.0,18.0,2.0,Brawls
8,77,Jack Knife,0.0,0.0,20.0,Brawls
9,777,SMASH,13.0,0.0,0.0,Brawls
10,79,Ellen R.I.Pley,9.0,0.0,0.0,Brawls
11,86,Lil' Red Right Hook,0.0,15.0,5.0,Brawls
12,911,Toxic Moxie,0.0,0.0,21.0,Brawls
13,927,Bella NoWay,9.0,2.0,0.0,Brawls
14,97,Briggie Smalls,0.0,0.0,5.0,Brawls
0,121,Jigglewatts,0.0,2.0,20.0,Alls
1,124,Ka-Blamazon,0.0,1.0,16.0,Alls
2,13,Surely Mental,0.0,0.0,0.0,Alls
3,18,Stitches,0.0,0.0,21.0,Alls
4,220,Electra Cal,2.0,21.0,9.0,Alls
5,23,Sintilly Lace,0.0,19.0,7.0,Alls
6,31,Poptart,13.0,1.0,0.0,Alls
7,329,Elita One,0.0,2.0,24.0,Alls
8,42,Virginia Slim,0.0,0.0,15.0,Alls
9,43,Rosie the iveter,11.0,0.0,0.0,Alls
10,53,Punch Bug,12.0,0.0,1.0,Alls
11,57,Hines,0.0,0.0,23.0,Alls
12,64,A-Bomb,0.0,0.0,1.0,Alls
13,7,AKA Rogue,9.0,0.0,0.0,Alls
14,911,Toxic Moxie,0.0,0.0,0.0,Alls
15,927,Bella No Way,0.0,0.0,2.0,Alls
0,121,Jigglewatts,0.0,7.0,18.0,Alls
1,124,KaBlamazon,0.0,0.0,21.0,Alls
2,13,Surely Mental,1.0,0.0,14.0,Alls
3,18,Stitches,0.0,0.0,25.0,Alls
4,220,Electra Cal,0.0,22.0,9.0,Alls
5,23,Lacey,0.0,14.0,16.0,Alls
6,31,Poptart,8.0,3.0,4.0,Alls
7,329,Elita One,0.0,3.0,22.0,Alls
8,42,Virginia Slam,0.0,0.0,15.0,Alls
9,43,Rose,14.0,0.0,0.0,Alls
10,53,Punch Bug,14.0,0.0,0.0,Alls
11,64,A-Bomb,0.0,0.0,2.0,Alls
12,7,AKA Rogue,12.0,0.0,0.0,Alls
13,911,Toxic Moxie,0.0,0.0,0.0,Alls
14,927,Bella No Way,0.0,0.0,1.0,Alls
0,121,Jigglewatts,0.0,0.0,21.0,Alls
1,124,KaBlamazon,0.0,0.0,22.0,Alls
2,13,Surely Mental,0.0,1.0,18.0,Alls
3,18,Stitches,0.0,0.0,23.0,Alls
4,220,Electra Cal,0.0,24.0,5.0,Alls
5,23,Lacey,0.0,19.0,7.0,Alls
6,31,Poptart,14.0,0.0,0.0,Alls
7,329,Elita One,0.0,3.0,25.0,Alls
8,42,Virginia Slam,0.0,0.0,8.0,Alls
9,43,Rose,12.0,0.0,0.0,Alls
10,53,Punch Bug,13.0,0.0,0.0,Alls
11,64,A-Bomb,0.0,0.0,5.0,Alls
12,671,Ruff Edges,0.0,0.0,0.0,Alls
13,7,AKA Rogue,8.0,0.0,0.0,Alls
14,927,Bella No Way,0.0,0.0,7.0,Alls
0,121,Jigglewatts,0.0,2.0,20.0,Alls
1,124,KaBlamazon,0.0,0.0,20.0,Alls
2,13,Surely Mental,0.0,15.0,9.0,Alls
3,18,Stitches,0.0,0.0,25.0,Alls
4,220,Electra Cal,0.0,23.0,8.0,Alls
5,31,Poptart,9.0,10.0,1.0,Alls
6,329,Elita One,0.0,0.0,28.0,Alls
7,42,Virginia Slam,0.0,0.0,14.0,Alls
8,43,Rose,13.0,0.0,0.0,Alls
9,53,Punch Bug,13.0,0.0,0.0,Alls
10,64,A-Bomb,0.0,0.0,8.0,Alls
11,671,Ruff Edges,5.0,0.0,0.0,Alls
12,7,AKA Rogue,10.0,0.0,0.0,Alls
13,777,SMASH,0.0,0.0,2.0,Alls
14,927,Bella No Way,0.0,0.0,15.0,Alls
0,121,Jigglewatts,3.0,23.0,1.0,Alls
1,124,Ka-Blamazon,0.0,0.0,21.0,Alls
2,13,Surley Mental,10.0,0.0,4.0,Alls
3,18,Stitches,0.0,0.0,20.0,Alls
4,220,Electra Cal,1.0,15.0,9.0,Alls
5,329,Elita One,0.0,4.0,18.0,Alls
6,42,Virginia Slam,0.0,0.0,21.0,Alls
7,53,Punch Bug,14.0,0.0,0.0,Alls
8,57,Hines,0.0,0.0,16.0,Alls
9,671,Ruff Edges,5.0,0.0,1.0,Alls
10,777,Smash,0.0,0.0,3.0,Alls
11,7,AKA Rogue,13.0,0.0,3.0,Alls
12,911,Toxic Moxie,0.0,0.0,0.0,Alls
13,927,Bella NoWay,0.0,0.0,13.0,Alls
0,14,Sailor Zoom,9.0,7.0,1.0,Brawls
1,187,Princess DIE,0.0,0.0,9.0,Brawls
2,3019,Eowound of Roharm,4.0,4.0,5.0,Brawls
3,369,Whiskey Kitty,0.0,0.0,10.0,Brawls
4,48,Sandra Deemon,0.0,0.0,10.0,Brawls
5,548,GrootForce,1.0,23.0,1.0,Brawls
